epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7938,1.44608,2.11833,1.7219,0.8542,0.76238,0.86126,0.41142,1.69676,1.6805,2.13143,0.000661905,0.000661905,0.000661905
2,114.238,1.33796,1.48627,1.58799,0.77481,0.7896,0.80412,0.44643,1.4901,1.28699,1.92803,0.00131542,0.00131542,0.00131542
3,168.585,1.34289,1.27397,1.57421,0.74509,0.71287,0.78607,0.35795,1.7497,1.73659,2.34892,0.00195573,0.00195573,0.00195573
4,219.93,1.334,1.19203,1.55101,0.9323,0.86139,0.92929,0.48795,1.52127,0.9883,1.89459,0.0019406,0.0019406,0.0019406
5,271.644,1.28451,1.09505,1.51472,0.76805,0.61634,0.67902,0.27449,2.01728,1.80315,2.62231,0.0019208,0.0019208,0.0019208
6,323.66,1.24975,1.06245,1.49283,0.96037,0.89967,0.96633,0.56307,1.37696,0.78143,1.72957,0.001901,0.001901,0.001901
7,374.913,1.2524,1.0213,1.48997,0.94303,0.94241,0.95678,0.5583,1.42318,0.73163,1.77196,0.0018812,0.0018812,0.0018812
8,426.601,1.21903,0.9877,1.45922,0.96755,0.95933,0.98506,0.61758,1.3103,0.66437,1.66143,0.0018614,0.0018614,0.0018614
9,478.173,1.21538,0.98208,1.45287,0.96015,0.96287,0.97702,0.62298,1.26353,0.62771,1.62425,0.0018416,0.0018416,0.0018416
10,530.486,1.20665,0.96483,1.4517,0.96296,0.97277,0.98805,0.60667,1.25724,0.58824,1.63953,0.0018218,0.0018218,0.0018218
11,583.057,1.20159,0.93096,1.44846,0.97529,0.97693,0.98553,0.63489,1.20588,0.58585,1.58854,0.001802,0.001802,0.001802
12,634.935,1.19622,0.92154,1.44049,0.95148,0.97073,0.98797,0.64372,1.20193,0.59907,1.58566,0.0017822,0.0017822,0.0017822
13,686.924,1.18215,0.90306,1.43058,0.96906,0.9802,0.99142,0.62844,1.21413,0.61349,1.60288,0.0017624,0.0017624,0.0017624
14,738.261,1.16421,0.89481,1.42035,0.96537,0.97277,0.98924,0.64605,1.21011,0.55216,1.58541,0.0017426,0.0017426,0.0017426
15,790.2,1.15293,0.88533,1.4184,0.9701,0.9637,0.98461,0.63297,1.22842,0.57096,1.61561,0.0017228,0.0017228,0.0017228
16,842.285,1.14128,0.87096,1.40712,0.97775,0.97887,0.98314,0.64719,1.18075,0.55065,1.57844,0.001703,0.001703,0.001703
