epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.307,1.46666,2.23691,1.63935,0.97418,0.88569,0.97458,0.60664,1.171,2.01814,1.55895,0.000657534,0.000657534,0.000657534
2,67.4213,1.27805,1.48298,1.41198,0.66061,0.82245,0.75419,0.24927,2.05871,1.84712,2.44288,0.00131109,0.00131109,0.00131109
3,100.402,1.28642,1.28032,1.42354,0.93123,0.76291,0.82774,0.44683,1.77409,1.53002,2.12874,0.00195145,0.00195145,0.00195145
4,131.294,1.28811,1.11734,1.40518,0.91856,0.92488,0.96497,0.61288,1.19827,1.13902,1.48975,0.0019406,0.0019406,0.0019406
5,162.422,1.27923,1.03766,1.40318,0.97912,0.97183,0.98428,0.61558,1.19885,0.68551,1.48797,0.0019208,0.0019208,0.0019208
6,192.876,1.24984,0.98417,1.39654,0.14689,0.23005,0.05612,0.01419,3.15928,3.65509,3.86391,0.001901,0.001901,0.001901
7,224.533,1.23314,0.96956,1.37687,0.99141,0.93897,0.98433,0.58055,1.30739,0.79497,1.58344,0.0018812,0.0018812,0.0018812
8,256.162,1.22428,0.91605,1.34938,0.97006,0.9126,0.98032,0.61848,1.17169,0.70928,1.47316,0.0018614,0.0018614,0.0018614
9,288.032,1.20589,0.91505,1.34,0.96133,0.96244,0.98891,0.63863,1.16383,0.58576,1.47721,0.0018416,0.0018416,0.0018416
10,320.514,1.17941,0.87108,1.33716,0.9739,0.97653,0.98404,0.65472,1.07039,0.58817,1.41379,0.0018218,0.0018218,0.0018218
11,351.059,1.1533,0.86766,1.3186,0.98582,0.97907,0.98777,0.63367,1.18898,0.52414,1.49007,0.001802,0.001802,0.001802
12,383.632,1.14699,0.8321,1.31987,0.98583,0.97988,0.99343,0.62465,1.21597,0.55592,1.53594,0.0017822,0.0017822,0.0017822
13,414.469,1.12632,0.81386,1.30962,0.98565,0.9674,0.9882,0.60612,1.24445,0.55315,1.51717,0.0017624,0.0017624,0.0017624
14,446.193,1.15849,0.81763,1.32887,0.97882,0.97653,0.98957,0.65041,1.17129,0.55816,1.47749,0.0017426,0.0017426,0.0017426
15,478.839,1.13774,0.80609,1.31079,0.99444,0.98592,0.99448,0.64777,1.22134,0.52179,1.50625,0.0017228,0.0017228,0.0017228
16,510.27,1.12209,0.78273,1.29777,0.99056,0.98522,0.98946,0.64236,1.19,0.54103,1.48111,0.001703,0.001703,0.001703
17,542.25,1.14176,0.79101,1.31687,0.96097,0.97653,0.98656,0.65818,1.16684,0.57038,1.4903,0.0016832,0.0016832,0.0016832
18,574.508,1.10571,0.76753,1.29896,0.97988,0.98592,0.98684,0.63041,1.22213,0.50651,1.50883,0.0016634,0.0016634,0.0016634
19,605.752,1.10263,0.79652,1.28719,0.98128,0.98447,0.99063,0.65911,1.15494,0.48821,1.43702,0.0016436,0.0016436,0.0016436
20,639.653,1.09891,0.761,1.29094,0.9721,0.98134,0.98775,0.66584,1.09605,0.50297,1.41263,0.0016238,0.0016238,0.0016238
21,673.879,1.08037,0.75275,1.28996,0.96426,0.96714,0.98682,0.62603,1.19045,0.53667,1.47105,0.001604,0.001604,0.001604
22,703.575,1.08506,0.76729,1.28234,0.98101,0.97018,0.9829,0.66125,1.09737,0.50043,1.42659,0.0015842,0.0015842,0.0015842
23,736.77,1.07963,0.7375,1.27962,0.98035,0.98592,0.99134,0.68657,1.07036,0.45955,1.39251,0.0015644,0.0015644,0.0015644
24,768.364,1.10132,0.75226,1.29717,0.98581,0.97829,0.98763,0.64719,1.19833,0.49691,1.49309,0.0015446,0.0015446,0.0015446
25,799.274,1.09693,0.77702,1.29039,0.98597,0.99015,0.98915,0.65707,1.13031,0.47994,1.43393,0.0015248,0.0015248,0.0015248
26,831.882,1.07501,0.73653,1.27958,0.97219,0.9849,0.99031,0.67886,1.08828,0.48173,1.40347,0.001505,0.001505,0.001505
27,863.166,1.05103,0.72221,1.26648,0.99059,0.98893,0.99178,0.68363,1.10778,0.43945,1.41522,0.0014852,0.0014852,0.0014852
28,893.197,1.07198,0.73521,1.27598,0.99059,0.98872,0.99335,0.62368,1.37145,0.54845,1.66383,0.0014654,0.0014654,0.0014654
29,922.403,1.06576,0.72958,1.27292,0.98582,0.97899,0.98756,0.69015,1.10871,0.45418,1.43109,0.0014456,0.0014456,0.0014456
30,951.687,1.07441,0.71181,1.27818,0.96786,0.98975,0.98735,0.68867,1.05571,0.43115,1.38478,0.0014258,0.0014258,0.0014258
31,981.779,1.06222,0.72842,1.26699,0.989,0.98122,0.99199,0.65794,1.15402,0.46766,1.42869,0.001406,0.001406,0.001406
32,1011.28,1.06765,0.72113,1.27044,0.98903,0.99061,0.9914,0.68541,1.08746,0.4199,1.40605,0.0013862,0.0013862,0.0013862
33,1041.46,1.03916,0.70069,1.26327,0.98941,0.98122,0.98668,0.68134,1.11116,0.41477,1.42894,0.0013664,0.0013664,0.0013664
34,1071.03,1.05082,0.69859,1.26565,0.98591,0.98573,0.99236,0.66025,1.13173,0.42577,1.41423,0.0013466,0.0013466,0.0013466
35,1101.38,1.03564,0.69362,1.25421,0.98515,0.98592,0.9893,0.70064,1.09637,0.42617,1.38699,0.0013268,0.0013268,0.0013268
36,1131.63,1.04044,0.67672,1.25652,0.98991,0.98592,0.99181,0.67612,1.08961,0.45204,1.39202,0.001307,0.001307,0.001307
37,1161.46,1.04219,0.69886,1.27347,0.98978,0.99061,0.98786,0.67994,1.10173,0.41969,1.40345,0.0012872,0.0012872,0.0012872
38,1190.82,1.0202,0.67781,1.25679,0.99006,0.99061,0.99253,0.69415,1.0912,0.41621,1.39466,0.0012674,0.0012674,0.0012674
39,1220.55,1.02694,0.67522,1.25128,0.98597,0.99016,0.99344,0.68517,1.08458,0.42702,1.3948,0.0012476,0.0012476,0.0012476
40,1250.17,1.02172,0.69505,1.2476,0.98904,0.99061,0.99344,0.68762,1.06179,0.41838,1.38416,0.0012278,0.0012278,0.0012278
41,1280.15,1.00961,0.68033,1.24645,0.98558,0.98592,0.98563,0.6825,1.08577,0.42857,1.38067,0.001208,0.001208,0.001208
42,1309.9,1.01883,0.67228,1.24571,0.98785,0.99061,0.99298,0.67081,1.14849,0.45187,1.43022,0.0011882,0.0011882,0.0011882
43,1338.87,1.01827,0.66295,1.25341,0.98069,0.98592,0.99298,0.69742,1.05587,0.40086,1.35414,0.0011684,0.0011684,0.0011684
44,1369.6,1.00996,0.67133,1.24811,0.97945,0.99061,0.99212,0.69114,1.05969,0.44418,1.36073,0.0011486,0.0011486,0.0011486
45,1400.5,1.03694,0.67176,1.25983,0.98425,0.99061,0.99344,0.68011,1.10879,0.45216,1.40171,0.0011288,0.0011288,0.0011288
46,1430.17,1.0219,0.6638,1.24972,0.98762,0.99061,0.99171,0.66644,1.09144,0.4215,1.37813,0.001109,0.001109,0.001109
47,1460.42,1.00605,0.67171,1.23604,0.98495,0.99061,0.994,0.69647,1.03254,0.38893,1.35283,0.0010892,0.0010892,0.0010892
48,1490.26,1.03007,0.6807,1.26431,0.99005,0.99061,0.99335,0.69574,1.01911,0.39836,1.34439,0.0010694,0.0010694,0.0010694
49,1519.81,0.99807,0.66056,1.23649,0.98861,0.99061,0.99348,0.68537,1.09804,0.44029,1.40048,0.0010496,0.0010496,0.0010496
50,1549.06,1.01711,0.64804,1.2341,0.99058,0.99061,0.99306,0.689,1.08176,0.41255,1.37241,0.0010298,0.0010298,0.0010298
51,1578.87,0.985,0.64602,1.23575,0.98987,0.99061,0.99425,0.69174,1.06444,0.40432,1.37644,0.00101,0.00101,0.00101
52,1609.21,0.97629,0.64362,1.22239,0.98507,0.99061,0.99335,0.6862,1.08183,0.39425,1.38186,0.0009902,0.0009902,0.0009902
53,1640.18,0.99898,0.62532,1.22927,0.98028,0.99061,0.99379,0.68115,1.08933,0.40287,1.38473,0.0009704,0.0009704,0.0009704
54,1670.1,1.00551,0.64007,1.24179,0.98533,0.99061,0.99394,0.69204,1.05681,0.39701,1.37751,0.0009506,0.0009506,0.0009506
55,1699.35,0.98415,0.6289,1.22607,0.9898,0.99061,0.99334,0.69983,1.05025,0.40105,1.36807,0.0009308,0.0009308,0.0009308
56,1729.77,0.97606,0.62058,1.22372,0.98551,0.99061,0.99289,0.68441,1.0608,0.38968,1.36791,0.000911,0.000911,0.000911
57,1759.54,0.9828,0.62867,1.23437,0.98877,0.99061,0.99249,0.68377,1.09252,0.40318,1.40132,0.0008912,0.0008912,0.0008912
58,1789.02,0.96392,0.61394,1.22086,0.98957,0.98592,0.99384,0.68837,1.05792,0.38314,1.36417,0.0008714,0.0008714,0.0008714
59,1818.49,0.98023,0.61057,1.22475,0.97929,0.99061,0.99318,0.7108,1.04318,0.39836,1.35116,0.0008516,0.0008516,0.0008516
60,1849.48,0.98259,0.61688,1.2293,0.9901,0.99061,0.99304,0.69207,1.05038,0.38369,1.35528,0.0008318,0.0008318,0.0008318
61,1880.13,0.97848,0.64256,1.2235,0.98924,0.99061,0.99384,0.70889,1.02691,0.39473,1.34529,0.000812,0.000812,0.000812
62,1909.33,0.96599,0.64184,1.22389,0.98893,0.99061,0.99353,0.69566,1.08075,0.41046,1.37367,0.0007922,0.0007922,0.0007922
63,1938.98,0.95679,0.6253,1.21128,0.98935,0.99061,0.99319,0.68834,1.08901,0.39782,1.38054,0.0007724,0.0007724,0.0007724
64,1968.38,0.97406,0.61945,1.21779,0.9851,0.99061,0.99292,0.69526,1.09588,0.38345,1.38458,0.0007526,0.0007526,0.0007526
65,1998.17,0.97616,0.61564,1.23369,0.98057,0.99061,0.99311,0.69495,1.05242,0.38536,1.35633,0.0007328,0.0007328,0.0007328
66,2028.29,0.96905,0.61753,1.21153,0.98963,0.99061,0.99389,0.69331,1.02891,0.37988,1.3327,0.000713,0.000713,0.000713
67,2058.03,0.96996,0.63074,1.22613,0.98952,0.99061,0.99394,0.68846,1.04148,0.37146,1.35775,0.0006932,0.0006932,0.0006932
68,2087.42,0.94796,0.58777,1.20783,0.98868,0.99061,0.99419,0.69277,1.06202,0.3788,1.36323,0.0006734,0.0006734,0.0006734
69,2118.23,0.95918,0.60752,1.21961,0.98968,0.99061,0.99379,0.70144,1.0311,0.38279,1.34048,0.0006536,0.0006536,0.0006536
70,2148.61,0.948,0.59116,1.20361,0.98963,0.99061,0.99385,0.69399,1.0481,0.38645,1.36856,0.0006338,0.0006338,0.0006338
71,2178.36,0.95897,0.61119,1.21439,0.98489,0.98592,0.99293,0.70039,1.06396,0.3994,1.35992,0.000614,0.000614,0.000614
72,2208.44,0.95075,0.59526,1.21852,0.98994,0.99061,0.99394,0.69797,1.04764,0.37154,1.36097,0.0005942,0.0005942,0.0005942
73,2238.27,0.94869,0.59808,1.20403,0.98833,0.99061,0.99269,0.69286,1.05433,0.3715,1.36303,0.0005744,0.0005744,0.0005744
74,2267.66,0.94225,0.59149,1.19725,0.98982,0.99061,0.99245,0.70007,1.04407,0.3679,1.35769,0.0005546,0.0005546,0.0005546
75,2297.57,0.93446,0.58553,1.20586,0.98942,0.99061,0.99339,0.69863,1.05758,0.37533,1.36044,0.0005348,0.0005348,0.0005348
76,2330.23,0.93816,0.58698,1.21609,0.98505,0.99061,0.99419,0.69153,1.06619,0.3859,1.37983,0.000515,0.000515,0.000515
77,2362.71,0.9374,0.58352,1.20304,0.98412,0.98592,0.98642,0.6935,1.0753,0.37088,1.38249,0.0004952,0.0004952,0.0004952
78,2397.1,0.9297,0.59043,1.19994,0.98987,0.99061,0.99334,0.69025,1.0641,0.37627,1.37258,0.0004754,0.0004754,0.0004754
79,2427.59,0.91782,0.58396,1.19931,0.9852,0.98592,0.98623,0.69173,1.03389,0.366,1.35531,0.0004556,0.0004556,0.0004556
