epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2967,1.44608,2.11833,1.7219,0.8542,0.76238,0.86126,0.41142,1.69676,1.6805,2.13143,0.000661905,0.000661905,0.000661905
2,113.675,1.34268,1.46165,1.5894,0.53874,0.72277,0.54625,0.19727,1.83256,2.18103,2.23253,0.00132199,0.00132199,0.00132199
3,167.781,1.35577,1.27864,1.58275,0.92015,0.84158,0.91614,0.40311,1.75049,1.12392,2.16105,0.00197549,0.00197549,0.00197549
4,221.215,1.33881,1.19391,1.55914,0.92567,0.85396,0.90059,0.4884,1.50405,1.05124,1.95628,0.0019703,0.0019703,0.0019703
5,274.784,1.30467,1.10539,1.52414,0.88354,0.90347,0.9308,0.4318,1.71215,1.04841,2.20995,0.0019604,0.0019604,0.0019604
6,328.502,1.26257,1.09099,1.50517,0.89889,0.88022,0.94985,0.53983,1.40767,0.81008,1.7715,0.0019505,0.0019505,0.0019505
7,383.959,1.25782,1.0252,1.49466,0.94522,0.96782,0.9786,0.61163,1.28613,0.63449,1.65202,0.0019406,0.0019406,0.0019406
8,437.981,1.22835,1.00292,1.46872,0.95467,0.93564,0.96954,0.60234,1.28047,0.70035,1.67051,0.0019307,0.0019307,0.0019307
9,491.332,1.22295,0.97815,1.46219,0.97737,0.96214,0.98755,0.63179,1.20041,0.62759,1.59516,0.0019208,0.0019208,0.0019208
10,544.92,1.21264,0.93185,1.4539,0.9813,0.95545,0.98429,0.61996,1.25422,0.58924,1.63575,0.0019109,0.0019109,0.0019109
11,599.024,1.20701,0.93611,1.45835,0.95604,0.96886,0.98708,0.62551,1.21589,0.61071,1.5831,0.001901,0.001901,0.001901
12,653.612,1.19377,0.93347,1.44727,0.96483,0.95069,0.98638,0.6037,1.30519,0.65547,1.64737,0.0018911,0.0018911,0.0018911
13,707.745,1.18895,0.90361,1.44029,0.95841,0.96979,0.98965,0.61516,1.25468,0.59975,1.6309,0.0018812,0.0018812,0.0018812
14,761.74,1.16785,0.88726,1.42164,0.97049,0.97683,0.99098,0.65384,1.19166,0.58434,1.58122,0.0018713,0.0018713,0.0018713
15,816.807,1.16325,0.8929,1.42656,0.82273,0.93317,0.94177,0.5933,1.30802,0.74065,1.70817,0.0018614,0.0018614,0.0018614
16,871.366,1.14779,0.87213,1.41419,0.97762,0.98267,0.98463,0.64416,1.19723,0.5315,1.59634,0.0018515,0.0018515,0.0018515
17,926.228,1.15028,0.87039,1.40224,0.97247,0.9802,0.98999,0.6131,1.26697,0.55691,1.67137,0.0018416,0.0018416,0.0018416
18,981,1.1503,0.85768,1.40726,0.98297,0.97772,0.98957,0.6504,1.2061,0.54729,1.58842,0.0018317,0.0018317,0.0018317
19,1034.76,1.12997,0.84262,1.40375,0.98324,0.97277,0.99259,0.634,1.26846,0.5649,1.63886,0.0018218,0.0018218,0.0018218
20,1087.88,1.13805,0.84975,1.39655,0.98371,0.9802,0.9912,0.64063,1.22517,0.54251,1.59326,0.0018119,0.0018119,0.0018119
21,1141.89,1.12536,0.83249,1.39451,0.96562,0.97337,0.98292,0.61322,1.26362,0.53753,1.64834,0.001802,0.001802,0.001802
22,1195.84,1.13204,0.84897,1.39907,0.94495,0.96535,0.98298,0.63929,1.20343,0.56317,1.59006,0.0017921,0.0017921,0.0017921
23,1249.56,1.11039,0.82552,1.37946,0.96805,0.9802,0.98643,0.64981,1.19222,0.53959,1.57891,0.0017822,0.0017822,0.0017822
24,1303.82,1.10549,0.82513,1.38337,0.97546,0.98515,0.99251,0.65924,1.17949,0.51139,1.55438,0.0017723,0.0017723,0.0017723
25,1357.96,1.1272,0.81929,1.3882,0.98649,0.97772,0.98566,0.62891,1.26366,0.53676,1.61932,0.0017624,0.0017624,0.0017624
26,1411.87,1.10093,0.80444,1.36415,0.98404,0.98515,0.99295,0.64626,1.23532,0.51486,1.59946,0.0017525,0.0017525,0.0017525
27,1465.67,1.11147,0.8204,1.37145,0.98875,0.97525,0.99207,0.65185,1.18606,0.49287,1.56311,0.0017426,0.0017426,0.0017426
28,1519.87,1.07385,0.80236,1.35701,0.9787,0.97277,0.9912,0.65859,1.19599,0.51243,1.56798,0.0017327,0.0017327,0.0017327
29,1573.75,1.09103,0.7979,1.36394,0.98846,0.98762,0.99365,0.66069,1.18865,0.49353,1.56996,0.0017228,0.0017228,0.0017228
30,1628.25,1.09002,0.78203,1.36877,0.97461,0.97772,0.99261,0.65374,1.2062,0.49827,1.58833,0.0017129,0.0017129,0.0017129
31,1682.1,1.09334,0.79124,1.36458,0.99011,0.99166,0.99368,0.64163,1.23368,0.49806,1.59398,0.001703,0.001703,0.001703
32,1735.88,1.08046,0.79253,1.36591,0.98491,0.98762,0.99331,0.6599,1.1791,0.49606,1.55264,0.0016931,0.0016931,0.0016931
33,1789.71,1.08192,0.78187,1.35997,0.98471,0.98267,0.99249,0.63971,1.22905,0.51205,1.57055,0.0016832,0.0016832,0.0016832
34,1843.7,1.0777,0.76993,1.35184,0.98108,0.9802,0.99262,0.65837,1.1648,0.48243,1.54267,0.0016733,0.0016733,0.0016733
35,1897.33,1.07764,0.78523,1.36143,0.98025,0.98267,0.99176,0.65765,1.1428,0.50676,1.5149,0.0016634,0.0016634,0.0016634
36,1950.96,1.06896,0.77115,1.35148,0.98653,0.98515,0.99257,0.67585,1.12791,0.46116,1.51946,0.0016535,0.0016535,0.0016535
37,2005.28,1.06324,0.77086,1.35038,0.97727,0.98515,0.99083,0.65387,1.18204,0.50889,1.56421,0.0016436,0.0016436,0.0016436
38,2059.62,1.06943,0.76358,1.34649,0.98515,0.98511,0.99255,0.67398,1.15075,0.4664,1.53921,0.0016337,0.0016337,0.0016337
39,2113.5,1.07718,0.76585,1.3489,0.98911,0.98762,0.99351,0.66352,1.1656,0.46009,1.55526,0.0016238,0.0016238,0.0016238
40,2167.3,1.05534,0.75371,1.3355,0.98737,0.9901,0.99355,0.66207,1.16702,0.46183,1.52207,0.0016139,0.0016139,0.0016139
41,2221.33,1.07359,0.75598,1.35383,0.98695,0.9901,0.99323,0.68338,1.12707,0.46776,1.51179,0.001604,0.001604,0.001604
42,2275.08,1.06048,0.76907,1.35038,0.9841,0.98267,0.99274,0.67681,1.12076,0.45911,1.52045,0.0015941,0.0015941,0.0015941
43,2328.29,1.06315,0.74459,1.341,0.98962,0.98762,0.99323,0.67216,1.12425,0.46742,1.51336,0.0015842,0.0015842,0.0015842
44,2381.87,1.04956,0.75066,1.33752,0.99009,0.98916,0.99259,0.67223,1.13045,0.47171,1.5104,0.0015743,0.0015743,0.0015743
45,2435.73,1.05603,0.73819,1.3416,0.98315,0.9802,0.993,0.64598,1.17885,0.48764,1.54004,0.0015644,0.0015644,0.0015644
46,2489.53,1.04767,0.75241,1.32485,0.97682,0.97772,0.99196,0.6913,1.09248,0.474,1.48506,0.0015545,0.0015545,0.0015545
47,2542.99,1.03907,0.7315,1.32846,0.97699,0.97772,0.99176,0.68041,1.11585,0.46763,1.49653,0.0015446,0.0015446,0.0015446
48,2596.24,1.03888,0.73309,1.33061,0.98628,0.98267,0.99212,0.68318,1.11839,0.45406,1.49821,0.0015347,0.0015347,0.0015347
49,2649.9,1.04293,0.73207,1.33331,0.98178,0.98762,0.99268,0.68547,1.09904,0.46908,1.48993,0.0015248,0.0015248,0.0015248
50,2703.37,1.04141,0.723,1.3306,0.98945,0.9901,0.9938,0.6805,1.15859,0.46416,1.50907,0.0015149,0.0015149,0.0015149
51,2756.29,1.02709,0.71422,1.31811,0.9891,0.99257,0.99302,0.67315,1.14721,0.45591,1.52732,0.001505,0.001505,0.001505
52,2809.35,1.03199,0.7256,1.32335,0.99046,0.99257,0.99418,0.70026,1.12633,0.42304,1.51399,0.0014951,0.0014951,0.0014951
53,2862.52,1.025,0.7232,1.3209,0.98413,0.98515,0.99196,0.66795,1.12675,0.46202,1.49756,0.0014852,0.0014852,0.0014852
54,2916.22,1.02835,0.69744,1.31401,0.98966,0.9901,0.99349,0.67097,1.13941,0.44244,1.50318,0.0014753,0.0014753,0.0014753
55,2969.95,1.02424,0.72611,1.31832,0.98228,0.98267,0.99234,0.66553,1.13976,0.46,1.538,0.0014654,0.0014654,0.0014654
56,3023.77,1.02089,0.72041,1.31239,0.98426,0.98762,0.99283,0.67086,1.14195,0.4334,1.52807,0.0014555,0.0014555,0.0014555
57,3077.98,1.02608,0.72446,1.31586,0.98584,0.98762,0.9925,0.66449,1.16429,0.46328,1.52965,0.0014456,0.0014456,0.0014456
58,3131.81,1.02436,0.70782,1.311,0.98019,0.97984,0.99152,0.68518,1.13844,0.43003,1.51879,0.0014357,0.0014357,0.0014357
59,3186.09,1.02039,0.7014,1.31807,0.9856,0.98267,0.99326,0.68919,1.11088,0.43554,1.49987,0.0014258,0.0014258,0.0014258
60,3239.58,1.00925,0.70797,1.3045,0.99187,0.98762,0.99374,0.66176,1.17052,0.46341,1.53341,0.0014159,0.0014159,0.0014159
61,3293.17,1.00333,0.69732,1.30407,0.98975,0.9901,0.9935,0.66535,1.17934,0.43569,1.53797,0.001406,0.001406,0.001406
