epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2432.29,0.97459,0.69059,1.25923,0.98909,0.99257,0.99197,0.70768,1.12609,0.40774,1.40703,0.0011882,0.0011882,0.0011882
43,2488.42,0.97717,0.67184,1.25664,0.99259,0.99436,0.99319,0.67164,1.15135,0.4392,1.42954,0.0011684,0.0011684,0.0011684
44,2546.52,0.96062,0.67448,1.25338,0.99257,0.99159,0.99409,0.71093,1.10784,0.41304,1.39883,0.0011486,0.0011486,0.0011486
45,2603.42,0.96845,0.66414,1.25952,0.99442,0.99505,0.99338,0.6589,1.21837,0.46316,1.48326,0.0011288,0.0011288,0.0011288
46,2660.2,0.96561,0.67226,1.2504,0.98958,0.99257,0.99385,0.70383,1.12046,0.41728,1.41146,0.001109,0.001109,0.001109
47,2716.48,0.95414,0.65872,1.24725,0.98671,0.99505,0.99378,0.68861,1.10733,0.41442,1.40214,0.0010892,0.0010892,0.0010892
48,2772.38,0.9547,0.66905,1.25223,0.98828,0.99505,0.99396,0.71432,1.09495,0.39827,1.39946,0.0010694,0.0010694,0.0010694
49,2828.61,0.95309,0.66586,1.25032,0.98705,0.99257,0.99376,0.6953,1.12186,0.41022,1.41615,0.0010496,0.0010496,0.0010496
50,2885.35,0.95667,0.65647,1.25023,0.99705,0.99752,0.99463,0.70785,1.10054,0.40449,1.38928,0.0010298,0.0010298,0.0010298
51,2940.99,0.93629,0.64411,1.24082,0.99178,0.99257,0.99264,0.70035,1.10281,0.40653,1.41188,0.00101,0.00101,0.00101
52,2997.62,0.94279,0.65789,1.25119,0.99226,0.99257,0.99434,0.71977,1.09856,0.4016,1.39031,0.0009902,0.0009902,0.0009902
53,3053.91,0.94103,0.64903,1.24622,0.99711,0.99752,0.99455,0.70221,1.10685,0.39828,1.39078,0.0009704,0.0009704,0.0009704
54,3109.91,0.94068,0.62467,1.23427,0.99369,0.99505,0.99424,0.68907,1.13685,0.41312,1.41281,0.0009506,0.0009506,0.0009506
55,3165.81,0.93437,0.64478,1.23716,0.99713,0.99505,0.99435,0.71824,1.07932,0.38969,1.37583,0.0009308,0.0009308,0.0009308
56,3222.88,0.92664,0.63885,1.23297,0.98537,0.9901,0.99383,0.69943,1.10839,0.41516,1.39614,0.000911,0.000911,0.000911
57,3279.58,0.9368,0.66038,1.23983,0.9944,0.99257,0.99384,0.69814,1.1187,0.41606,1.409,0.0008912,0.0008912,0.0008912
58,3337.14,0.92512,0.65413,1.2302,0.99979,1,0.995,0.70586,1.12608,0.41342,1.40355,0.0008714,0.0008714,0.0008714
59,3395.09,0.93485,0.63333,1.23477,0.99715,0.99752,0.99436,0.70734,1.08053,0.39023,1.37853,0.0008516,0.0008516,0.0008516
60,3451.94,0.92085,0.63199,1.23137,0.99752,0.99496,0.99368,0.70143,1.09685,0.39224,1.39162,0.0008318,0.0008318,0.0008318
61,3509.95,0.91941,0.62842,1.22621,0.9949,0.99505,0.99378,0.71014,1.11156,0.39637,1.39633,0.000812,0.000812,0.000812
62,3567.54,0.91304,0.61914,1.22217,0.99259,0.99484,0.99431,0.72548,1.07578,0.39431,1.38503,0.0007922,0.0007922,0.0007922
63,3625.12,0.8951,0.62244,1.21058,0.99475,0.99752,0.9948,0.72633,1.06617,0.38136,1.36914,0.0007724,0.0007724,0.0007724
64,3681.87,0.91656,0.62641,1.22317,0.99492,0.99505,0.99417,0.70681,1.09358,0.38583,1.37871,0.0007526,0.0007526,0.0007526
65,3739.32,0.91706,0.61594,1.22132,0.99479,0.99505,0.99452,0.71608,1.07718,0.38552,1.382,0.0007328,0.0007328,0.0007328
66,3796.6,0.914,0.6105,1.22615,0.99452,0.99505,0.99485,0.72048,1.06096,0.37569,1.36068,0.000713,0.000713,0.000713
67,3852.84,0.89762,0.60122,1.21317,0.99418,0.99505,0.9947,0.69547,1.08466,0.39016,1.37729,0.0006932,0.0006932,0.0006932
68,3910.76,0.89472,0.607,1.21545,0.99453,0.99505,0.99449,0.71762,1.0837,0.38778,1.38793,0.0006734,0.0006734,0.0006734
69,3968.55,0.90835,0.61274,1.21499,0.99692,0.99752,0.99453,0.70962,1.11177,0.39233,1.39978,0.0006536,0.0006536,0.0006536
70,4026.34,0.90299,0.59909,1.21206,0.99259,0.99478,0.99475,0.73068,1.06445,0.37592,1.36117,0.0006338,0.0006338,0.0006338
71,4083.27,0.88711,0.60854,1.20969,0.99725,0.99752,0.99475,0.72915,1.05479,0.37345,1.35479,0.000614,0.000614,0.000614
72,4140.89,0.88657,0.60725,1.2069,0.99491,0.99752,0.99482,0.72842,1.07124,0.37644,1.37361,0.0005942,0.0005942,0.0005942
73,4198.26,0.89047,0.60397,1.2116,0.9941,0.99505,0.99455,0.72355,1.06658,0.38303,1.37198,0.0005744,0.0005744,0.0005744
74,4258.01,0.88181,0.59073,1.20558,0.99701,0.99752,0.99473,0.71804,1.08699,0.38566,1.3802,0.0005546,0.0005546,0.0005546
75,4317.11,0.88536,0.58973,1.21155,0.99659,0.99752,0.99485,0.72197,1.07208,0.3789,1.36703,0.0005348,0.0005348,0.0005348
76,4375.47,0.8788,0.58844,1.20638,0.98919,0.99257,0.99465,0.71878,1.07008,0.37642,1.37008,0.000515,0.000515,0.000515
77,4433.44,0.88689,0.59314,1.21431,0.99379,0.99752,0.99431,0.71293,1.08879,0.38071,1.37632,0.0004952,0.0004952,0.0004952
78,4492.01,0.88,0.58605,1.20955,0.98966,0.99752,0.99447,0.72674,1.08294,0.37559,1.36519,0.0004754,0.0004754,0.0004754
79,4550.46,0.87265,0.57971,1.20775,0.99966,1,0.995,0.72174,1.08263,0.37161,1.37324,0.0004556,0.0004556,0.0004556
80,4608.68,0.87168,0.58314,1.20137,0.99704,0.99752,0.99488,0.72559,1.07425,0.37605,1.36198,0.0004358,0.0004358,0.0004358
81,4668.36,0.8708,0.57583,1.19555,0.99716,0.99752,0.99483,0.71926,1.06564,0.37697,1.36261,0.000416,0.000416,0.000416
82,4728.54,0.85712,0.56445,1.19923,0.9926,0.99658,0.99453,0.72232,1.07783,0.36839,1.37877,0.0003962,0.0003962,0.0003962
83,4787.16,0.84824,0.55082,1.18956,0.98874,0.99505,0.99431,0.7301,1.06298,0.36361,1.36769,0.0003764,0.0003764,0.0003764
84,4845.31,0.85859,0.56569,1.19607,0.99238,0.99752,0.9948,0.72747,1.0616,0.37108,1.36678,0.0003566,0.0003566,0.0003566
85,4904.5,0.85116,0.56535,1.194,0.99232,0.99752,0.99478,0.72584,1.06296,0.37603,1.358,0.0003368,0.0003368,0.0003368
86,4961.31,0.85337,0.56532,1.18953,0.99222,0.99752,0.99467,0.72564,1.06763,0.37193,1.37075,0.000317,0.000317,0.000317
87,5019.28,0.84924,0.55456,1.18134,0.99752,0.99618,0.9949,0.71534,1.07437,0.37029,1.36797,0.0002972,0.0002972,0.0002972
88,5077.84,0.84805,0.55239,1.18932,0.99647,0.99752,0.99488,0.72902,1.05754,0.36514,1.36135,0.0002774,0.0002774,0.0002774
89,5135.89,0.8354,0.5452,1.1783,0.99699,0.99752,0.99483,0.72877,1.06257,0.36821,1.36418,0.0002576,0.0002576,0.0002576
90,5193.43,0.83469,0.54744,1.17893,0.99455,1,0.995,0.72976,1.04532,0.36755,1.35456,0.0002378,0.0002378,0.0002378
91,5253.92,0.87773,0.36516,1.27245,0.99226,1,0.99493,0.71396,1.05942,0.37028,1.36094,0.000218,0.000218,0.000218
92,5309.58,0.84409,0.3472,1.24908,0.99712,0.99752,0.99488,0.71615,1.05771,0.37017,1.3659,0.0001982,0.0001982,0.0001982
93,5364.86,0.85142,0.34655,1.25711,0.99705,0.99752,0.99485,0.71613,1.05728,0.37071,1.36868,0.0001784,0.0001784,0.0001784
94,5419.2,0.83908,0.34009,1.25097,0.99705,0.99752,0.99488,0.72107,1.05466,0.36808,1.36482,0.0001586,0.0001586,0.0001586
95,5474.04,0.83797,0.34193,1.24577,0.99413,0.99505,0.99485,0.71852,1.05925,0.36848,1.37259,0.0001388,0.0001388,0.0001388
96,5529.26,0.82059,0.33845,1.24274,0.99682,0.99752,0.99483,0.72147,1.06162,0.36793,1.37365,0.000119,0.000119,0.000119
97,5584.86,0.82557,0.33659,1.23627,0.99708,0.99752,0.9948,0.72662,1.05715,0.36569,1.37152,9.92e-05,9.92e-05,9.92e-05
98,5640.66,0.82355,0.33449,1.23268,0.99453,0.99505,0.99485,0.72702,1.0625,0.3647,1.37565,7.94e-05,7.94e-05,7.94e-05
99,5696.31,0.8188,0.33412,1.23348,0.99716,0.99752,0.9949,0.7247,1.0571,0.36227,1.37371,5.96e-05,5.96e-05,5.96e-05
100,5751.18,0.81482,0.33127,1.23062,0.99735,0.99752,0.99488,0.72634,1.05616,0.36214,1.37088,3.98e-05,3.98e-05,3.98e-05
