frame_id,box_id,box_xmin,box_ymin,box_xmax,box_ymax,pred_height_cm
100,0,78,18,636,476,38.92012023925781
144,0,171,55,304,201,10.138649940490723
146,0,145,45,273,197,45.0549201965332
147,0,185,313,274,436,52.169273376464844
149,0,170,34,289,185,13.117403984069824
150,0,190,311,275,430,52.79783248901367
151,0,172,50,267,188,40.68015670776367
152,0,173,54,282,191,41.35126876831055
152,1,193,306,273,426,11.491715431213379
153,0,205,305,284,425,38.44976806640625
153,1,168,52,299,196,45.1269645690918
156,0,163,58,279,191,46.81293869018555
157,0,200,302,278,424,52.00458908081055
158,0,200,309,280,431,53.22623062133789
159,0,200,307,278,428,52.61548614501953
161,0,207,305,288,427,52.33537673950195
162,0,208,310,291,433,52.16433334350586
163,0,211,312,293,436,52.68513488769531
164,0,215,312,296,437,51.25932693481445
165,0,216,310,300,440,51.63106155395508
167,0,220,310,307,438,51.8679313659668
168,0,217,311,304,439,51.32270812988281
169,0,216,309,297,432,51.38145065307617
170,0,216,310,299,437,51.51883316040039
171,0,218,310,304,437,52.570377349853516
172,0,222,308,307,434,51.86869430541992
173,0,220,305,307,431,52.18888854980469
178,0,165,51,279,200,44.20273971557617
179,0,159,49,278,208,42.24956130981445
181,0,201,167,348,360,45.1643180847168
181,1,169,55,277,211,42.729469299316406
182,0,186,143,362,348,42.11741256713867
183,0,178,62,276,192,41.63347244262695
184,0,182,62,269,186,41.62849044799805
189,0,186,152,350,352,46.04281997680664
190,0,182,153,351,355,46.1058464050293
193,0,99,291,259,479,51.4223518371582
196,0,93,357,286,479,25.600046157836914
200,0,94,348,291,479,28.031190872192383
201,0,94,360,288,479,16.5231876373291
202,0,93,332,266,480,42.836185455322266
205,0,174,298,271,474,45.88591766357422
207,0,96,298,274,480,45.84866714477539
208,0,164,58,277,198,41.92782211303711
209,0,167,309,267,477,41.2950553894043
209,1,125,305,266,478,45.65195083618164
209,2,162,55,278,199,41.65364456176758
210,0,163,313,269,478,42.87972640991211
224,0,93,293,281,480,45.894474029541016
224,1,151,300,281,480,33.356510162353516
225,0,163,58,278,201,42.00802230834961
226,0,159,306,270,478,36.551082611083984
226,1,95,298,274,479,40.93899917602539
227,0,97,298,277,480,44.83334732055664
228,0,101,301,279,479,42.0128059387207
229,0,97,348,280,479,31.40015983581543
230,0,102,304,276,480,38.959136962890625
232,0,174,63,266,198,41.705142974853516
233,0,92,333,276,480,37.70813751220703
236,0,208,356,319,480,52.19022750854492
237,0,208,356,319,480,52.19022750854492
238,0,201,368,292,480,52.40999984741211
239,0,175,84,276,208,41.237342834472656
239,1,200,370,290,480,51.16613006591797
240,0,177,65,285,210,41.36775588989258
240,1,203,367,294,480,51.08541488647461
241,0,205,373,300,480,51.07573318481445
241,1,178,57,292,203,40.12470245361328
241,2,205,165,359,340,41.5728645324707
242,0,205,371,294,479,51.62692642211914
242,1,176,60,282,209,40.7308349609375
243,0,200,369,292,480,51.14619445800781
244,0,201,370,291,479,51.24942398071289
245,0,196,370,294,480,52.330665588378906
245,1,171,85,273,216,41.4858512878418
246,0,196,372,297,480,52.70218276977539
246,1,171,82,275,217,40.31257247924805
247,0,173,78,275,212,41.152156829833984
247,1,197,368,294,480,50.933536529541016
248,0,174,71,279,217,40.96233367919922
248,1,200,369,294,479,51.20100021362305
249,0,201,365,295,480,50.65194320678711
249,1,178,73,284,220,40.664737701416016
250,0,201,368,295,480,51.50063705444336
250,1,178,72,285,218,40.75114059448242
251,0,201,369,295,480,51.33765411376953
251,1,179,67,284,217,41.005916595458984
251,2,208,156,362,347,42.683040618896484
252,0,200,367,296,480,50.84201431274414
252,1,177,72,284,219,41.1649055480957
252,2,207,153,359,350,42.41920852661133
253,0,200,365,294,480,51.12736129760742
254,0,179,70,283,218,41.12120056152344
254,1,201,370,294,480,50.81291580200195
254,2,208,153,363,346,42.98787307739258
255,0,179,68,283,218,40.85757827758789
255,1,201,369,294,480,50.73226547241211
256,0,179,73,283,214,41.046112060546875
256,1,203,368,295,480,51.214534759521484
256,2,212,166,357,341,42.1182975769043
257,0,179,68,285,217,41.124996185302734
257,1,203,367,296,480,50.96385192871094
258,0,180,65,284,216,40.56679153442383
258,1,203,369,296,480,51.60042953491211
258,2,211,165,359,342,42.51311111450195
259,0,180,67,285,215,40.781314849853516
259,1,203,370,296,480,51.15286636352539
259,2,205,157,359,341,41.94697952270508
260,0,180,65,286,215,40.93882369995117
260,1,204,369,297,480,51.277713775634766
