frame_id,box_id,box_xmin,box_ymin,box_xmax,box_ymax,pred_height_cm
261,0,178,68,283,211,40.06938171386719
261,1,204,370,297,480,51.41775894165039
262,0,204,369,296,480,50.83143997192383
262,1,178,64,285,211,40.54555892944336
263,0,205,372,298,480,51.803218841552734
263,1,176,67,286,208,40.68179702758789
263,2,215,168,357,338,41.722408294677734
264,0,205,372,298,480,51.37504196166992
264,1,179,64,286,207,40.86957931518555
265,0,209,363,307,480,43.7093620300293
265,1,173,52,303,206,38.15925216674805
265,2,220,170,359,332,38.85866928100586
266,0,228,365,320,480,50.776336669921875
267,0,228,366,334,480,50.64583969116211
268,0,223,370,335,480,53.302452087402344
271,0,223,366,329,480,51.64403533935547
272,0,222,366,330,480,51.56184387207031
281,0,207,133,360,326,51.25197219848633
281,1,216,365,326,480,51.25201416015625
282,0,216,363,317,480,51.7841911315918
283,0,217,355,317,480,50.92750930786133
284,0,215,357,317,480,51.01941680908203
285,0,215,362,316,480,50.72391891479492
286,0,214,363,314,480,50.77260208129883
287,0,213,362,318,480,51.248050689697266
287,1,194,52,306,211,39.77630615234375
288,0,209,366,314,480,51.070457458496094
288,1,186,55,303,213,40.66559600830078
289,0,210,363,314,480,51.13142013549805
290,0,211,364,314,480,51.03981399536133
291,0,211,364,314,480,50.43452835083008
292,0,211,365,313,480,51.93482208251953
293,0,210,363,313,480,51.1345329284668
294,0,211,364,313,480,50.776283264160156
295,0,211,363,313,480,50.88590621948242
295,1,187,53,303,213,40.37813186645508
296,0,211,363,316,480,51.12651443481445
297,0,211,363,314,480,51.05118179321289
297,1,192,55,304,211,40.031864166259766
298,0,210,364,313,480,51.39088821411133
298,1,188,50,304,202,39.923030853271484
299,0,208,362,314,480,50.89404296875
299,1,192,56,300,215,41.113590240478516
300,0,208,362,314,480,50.94070816040039
300,1,191,56,302,214,40.926700592041016
301,0,210,363,316,480,50.77163314819336
302,0,211,362,317,480,51.01169204711914
302,1,180,56,303,214,40.2999382019043
303,0,212,361,320,480,50.774295806884766
303,1,192,53,302,220,40.2839241027832
304,0,212,363,317,480,50.937217712402344
304,1,170,51,303,222,40.910736083984375
305,0,211,363,316,480,51.065223693847656
305,1,172,51,300,219,40.81541061401367
306,0,211,364,312,480,51.79301071166992
306,1,174,51,300,216,40.81672668457031
307,0,211,363,312,479,51.38521957397461
307,1,175,51,301,219,40.97521209716797
308,0,210,364,313,479,51.471900939941406
308,1,175,55,301,216,40.2288932800293
308,2,232,176,356,330,42.4343147277832
309,0,176,51,302,210,40.881778717041016
310,0,177,58,297,216,41.445682525634766
310,1,232,181,360,334,41.68431091308594
311,0,192,63,296,218,40.69373321533203
311,1,233,172,370,330,42.74087905883789
312,0,178,64,290,216,41.75035095214844
312,1,229,173,369,334,42.624263763427734
313,0,182,61,286,211,40.410404205322266
313,1,224,176,365,335,42.48841857910156
314,0,178,58,285,213,40.386070251464844
314,1,223,174,359,331,42.416446685791016
315,0,173,62,281,214,40.77703094482422
316,0,172,67,283,215,40.986392974853516
316,1,218,168,361,337,43.052833557128906
317,0,172,70,280,216,41.60481643676758
317,1,216,169,359,337,43.08434295654297
318,0,172,70,276,218,41.15955352783203
318,1,214,167,358,339,43.178104400634766
318,2,196,353,302,480,50.765438079833984
319,0,166,71,272,226,41.2227897644043
319,1,196,360,296,479,51.077327728271484
319,2,212,169,363,354,41.35752868652344
320,0,162,73,274,223,41.5260124206543
320,1,193,362,294,479,51.07777786254883
320,2,206,172,364,358,43.73115158081055
321,0,160,73,269,220,41.07706069946289
321,1,191,363,291,479,51.600711822509766
322,0,189,361,291,479,50.97012710571289
322,1,200,163,355,353,38.56417465209961
323,0,190,363,291,479,50.61061096191406
324,0,190,365,292,480,51.18294143676758
325,0,190,361,296,480,51.44746780395508
326,0,193,360,298,480,50.88454055786133
327,0,192,356,302,480,52.137691497802734
327,1,167,60,271,226,40.2253532409668
328,0,195,353,304,480,51.738975524902344
329,0,175,63,281,219,40.978145599365234
329,1,198,356,307,480,51.36762619018555
330,0,185,67,286,208,41.00131607055664
331,0,186,64,287,209,40.37168502807617
331,1,203,363,314,480,50.59182357788086
332,0,217,177,356,345,42.45900344848633
332,1,176,60,289,212,40.27863693237305
333,0,197,357,307,480,52.10000991821289
333,1,175,66,283,212,40.668636322021484
334,0,175,73,282,215,41.35185241699219
335,0,216,172,355,346,44.03037643432617
336,0,213,171,357,349,43.75319290161133
341,0,177,64,286,215,40.301822662353516
342,0,175,69,286,216,41.067256927490234
344,0,177,63,296,215,40.64592361450195
345,0,212,190,353,335,40.937660217285156
346,0,228,181,357,324,43.621219635009766
346,1,207,352,324,480,51.68205261230469
347,0,196,45,318,229,41.56180953979492
348,0,196,45,318,229,41.56180953979492
349,0,231,181,360,329,44.0130615234375
350,0,208,353,333,479,50.6888542175293
351,0,223,184,352,331,43.30557632446289
351,1,176,43,299,218,43.06900405883789
352,0,172,56,299,223,41.53062057495117
352,1,197,363,309,479,51.0647087097168
353,0,170,54,294,222,41.72388458251953
354,0,195,357,312,479,50.5412712097168
355,0,195,357,312,479,31.238706588745117
355,1,169,60,297,224,41.692569732666016
356,0,202,357,322,480,14.429788589477539
356,1,168,57,301,225,42.65705490112305
357,0,203,356,322,480,49.699462890625
358,0,201,353,322,479,52.153228759765625
359,0,198,347,320,480,49.09676742553711
359,1,165,69,294,231,42.53959274291992
360,0,198,347,321,480,50.674930572509766
360,1,167,73,296,233,42.9517936706543
361,0,194,344,318,480,44.70576477050781
361,1,141,54,288,228,47.654788970947266
362,0,186,352,310,479,50.5640983581543
363,0,184,353,304,479,28.28460693359375
363,1,216,176,364,344,43.90123748779297
364,0,184,350,311,480,43.19725799560547
364,1,218,164,370,350,42.8799934387207
365,0,184,352,311,479,38.348793029785156
366,0,182,353,306,479,44.910621643066406
367,0,181,352,306,479,40.78294372558594
368,0,175,349,302,479,49.46367263793945
369,0,173,351,299,479,34.879695892333984
370,0,172,358,298,479,49.92494583129883
371,0,171,354,297,479,34.84060287475586
372,0,171,358,295,479,33.455448150634766
373,0,169,353,292,480,45.790645599365234
373,1,115,63,257,237,44.78458786010742
374,0,171,355,288,479,48.742244720458984
375,0,170,352,288,479,48.544010162353516
375,1,195,160,368,362,60.54195022583008
376,0,171,352,289,479,46.914276123046875
377,0,170,354,292,479,46.53855514526367
377,1,198,171,359,362,41.076778411865234
378,0,173,352,297,479,48.539363861083984
379,0,178,346,307,480,33.32412338256836
380,0,187,352,312,480,42.84904098510742
380,1,223,182,361,338,45.74789810180664
381,0,188,348,314,479,37.63043975830078
381,1,226,187,363,348,38.20216369628906
382,0,186,352,311,480,50.42719268798828
382,1,223,181,363,343,43.80691909790039
383,0,174,347,305,480,15.47778606414795
384,0,152,340,286,480,14.755463600158691
